id,pincode,city,state,country,created_at,updated_at
1,110001,Delhi,Delhi,India,2022-01-08,2021-07-06
2,110002,Delhi,Delhi,India,2022-01-07,2021-07-06
3,110003,Delhi,Delhi,India,2021-07-06,2021-07-06
4,110004,Delhi,Delhi,India,2021-07-06,2021-07-06
5,110005,Delhi,Delhi,India,2021-07-06,2021-07-06
6,110006,Delhi,Delhi,India,2021-07-06,2021-07-06
7,110007,Delhi,Delhi,India,2021-07-06,2021-07-06
8,110008,Delhi,Delhi,India,2021-07-06,2021-07-06
9,110009,Delhi,Delhi,India,2021-07-06,2021-07-06
10,110010,Delhi,Delhi,India,2021-07-06,2021-07-06
11,110011,Delhi,Delhi,India,2021-07-06,2021-07-06
12,110012,Delhi,Delhi,India,2021-07-06,2021-07-06
13,110013,Delhi,Delhi,India,2021-07-06,2021-07-06
14,110014,Delhi,Delhi,India,2021-07-06,2021-07-06
15,110015,Delhi,Delhi,India,2021-07-06,2021-07-06
16,110016,Delhi,Delhi,India,2021-07-06,2021-07-06
17,110017,Delhi,Delhi,India,2021-07-06,2021-07-06
18,110018,Delhi,Delhi,India,2021-07-06,2021-07-06
19,110019,Delhi,Delhi,India,2021-07-06,2021-07-06
20,110020,Delhi,Delhi,India,2021-07-06,2021-07-06
21,110021,Delhi,Delhi,India,2021-07-06,2021-07-06
22,110022,Delhi,Delhi,India,2021-07-06,2021-07-06
23,110023,Delhi,Delhi,India,2021-07-06,2021-07-06
24,110024,Delhi,Delhi,India,2021-07-06,2021-07-06
25,110025,Delhi,Delhi,India,2021-07-06,2021-07-06
26,110026,Delhi,Delhi,India,2021-07-06,2021-07-06
27,110027,Delhi,Delhi,India,2021-07-06,2021-07-06
28,110028,Delhi,Delhi,India,2021-07-06,2021-07-06
29,110029,Delhi,Delhi,India,2021-07-06,2021-07-06
30,110030,Delhi,Delhi,India,2021-07-06,2021-07-06
31,110031,Delhi,Delhi,India,2021-07-06,2021-07-06
32,110032,Delhi,Delhi,India,2021-07-06,2021-07-06
33,110033,Delhi,Delhi,India,2021-07-06,2021-07-06
34,110034,Delhi,Delhi,India,2021-07-06,2021-07-06
35,110035,Delhi,Delhi,India,2021-07-06,2021-07-06
36,110036,Delhi,Delhi,India,2021-07-06,2021-07-06
37,110037,Delhi,Delhi,India,2021-07-06,2021-07-06
38,110038,Delhi,Delhi,India,2021-07-06,2021-07-06
39,110039,Delhi,Delhi,India,2021-07-06,2021-07-06
40,110040,Delhi,Delhi,India,2021-07-06,2021-07-06
41,110041,Delhi,Delhi,India,2021-07-06,2021-07-06
42,110042,Delhi,Delhi,India,2021-07-06,2021-07-06
43,110043,Delhi,Delhi,India,2021-07-06,2021-07-06
44,110044,Delhi,Delhi,India,2021-07-06,2021-07-06
45,110045,Delhi,Delhi,India,2021-07-06,2021-07-06
46,110046,Delhi,Delhi,India,2021-07-06,2021-07-06
47,110047,Delhi,Delhi,India,2021-07-06,2021-07-06
48,110048,Delhi,Delhi,India,2021-07-06,2021-07-06
49,110049,Delhi,Delhi,India,2021-07-06,2021-07-06
50,110051,Delhi,Delhi,India,2021-07-06,2021-07-06
51,110052,Delhi,Delhi,India,2021-07-06,2021-07-06
52,110053,Delhi,Delhi,India,2021-07-06,2021-07-06
53,110054,Delhi,Delhi,India,2021-07-06,2021-07-06
54,110055,Delhi,Delhi,India,2021-07-06,2021-07-06
55,110056,Delhi,Delhi,India,2021-07-06,2021-07-06
56,110057,Delhi,Delhi,India,2021-07-06,2021-07-06
57,110058,Delhi,Delhi,India,2021-07-06,2021-07-06
58,110059,Delhi,Delhi,India,2021-07-06,2021-07-06
59,110060,Delhi,Delhi,India,2021-07-06,2021-07-06
60,110061,Delhi,Delhi,India,2021-07-06,2021-07-06
61,110062,Delhi,Delhi,India,2021-07-06,2021-07-06
62,110063,Delhi,Delhi,India,2021-07-06,2021-07-06
63,110064,Delhi,Delhi,India,2021-07-06,2021-07-06
64,110065,Delhi,Delhi,India,2021-07-06,2021-07-06
65,110066,Delhi,Delhi,India,2021-07-06,2021-07-06
66,110067,Delhi,Delhi,India,2021-07-06,2021-07-06
67,110068,Delhi,Delhi,India,2021-07-06,2021-07-06
68,110069,Delhi,Delhi,India,2021-07-06,2021-07-06
69,110070,Delhi,Delhi,India,2021-07-06,2021-07-06
70,110071,Delhi,Delhi,India,2021-07-06,2021-07-06
71,110072,Delhi,Delhi,India,2021-07-06,2021-07-06
72,110073,Delhi,Delhi,India,2021-07-06,2021-07-06
